Match_ID,Date,Competition,Venue,Opponent,Barca_Goals,Opp_Goals,Result,Barca_Possession%,Opp_Possession%,Barca_Shots,Opp_Shots,Barca_SoT,Opp_SoT,Barca_xG,Opp_xG,Barca_Corners,Opp_Corners,Barca_Fouls,Opp_Fouls,Barca_Yellow,Opp_Yellow,Barca_Red,Opp_Red,Barca_PPDA,Referee
FCB-2300,2024-12-28,La Liga,Home,Real Madrid,5,0,W,69.5,30.5,21,9,5,2,1.48,0.69,6,3,10,17,1,3,1,1,13.6,Gil Manzano
FCB-2301,2024-12-25,La Liga,Home,Atletico Madrid,4,1,W,56.7,43.3,13,8,7,4,2.7,1.62,9,2,11,20,2,4,0,1,7,De Burgos Bengoetxea
FCB-2302,2024-06-28,La Liga,Home,Sevilla,3,3,D,60,40,21,10,10,5,2.01,1.59,11,5,8,18,0,4,0,0,12.6,De Burgos Bengoetxea
FCB-2303,2024-02-02,La Liga,Home,Valencia,2,2,D,69.3,30.7,16,12,9,2,3.01,1.92,7,3,17,14,2,0,0,1,9.5,Jesús Gil
FCB-2304,2024-09-20,La Liga,Home,Villarreal,4,2,W,56.5,43.5,12,6,11,7,1.89,0.74,10,3,9,20,1,0,1,0,11.6,Gil Manzano
FCB-2305,2024-03-19,La Liga,Home,Athletic Bilbao,4,0,W,68.3,31.7,18,5,6,4,1.95,1.31,5,4,15,19,3,3,1,1,13.4,Jesús Gil
FCB-2306,2024-12-01,La Liga,Home,Real Sociedad,4,0,W,60.7,39.3,21,9,10,4,2.98,1.83,5,5,9,12,1,5,1,1,11.7,Del Cerro Grande
FCB-2307,2024-09-14,La Liga,Home,Osasuna,2,0,W,66.7,33.3,18,9,7,4,2.98,1.84,6,5,13,17,3,1,0,0,8.2,Cuadra Fernández
FCB-2308,2024-07-06,UCL,Home,Girona,3,2,W,63.7,36.3,21,5,7,4,2.84,1.68,12,7,15,16,0,0,1,1,9.8,Del Cerro Grande
FCB-2309,2024-03-08,UCL,Home,Rayo Vallecano,5,3,W,70.2,29.8,17,8,11,6,2.29,1.07,10,2,9,11,3,0,0,0,5.4,Munuera Montero
FCB-2310,2024-03-13,La Liga,Away,Getafe,4,1,W,70.4,29.6,21,7,12,5,3.36,0.42,4,6,12,18,1,3,1,1,7.9,Jesús Gil
FCB-2311,2024-04-21,La Liga,Away,Celta Vigo,2,1,W,67.7,32.3,20,5,9,6,2.08,0.31,12,5,14,17,1,2,1,0,8.2,Mateu Lahoz
FCB-2312,2024-08-24,La Liga,Away,Espanyol,5,1,W,58.4,41.6,12,8,7,3,1.72,1.57,11,2,16,19,0,3,1,0,12.5,Hernández Hernández
FCB-2313,2024-02-18,La Liga,Away,Betis,1,3,L,71.6,28.4,12,11,11,4,1.34,1.56,10,7,17,16,0,2,0,0,11.6,Jesús Gil
FCB-2314,2024-12-01,La Liga,Away,Almeria,3,0,W,68.8,31.2,15,8,7,3,1.99,1.13,4,7,15,20,2,5,0,1,11.6,De Burgos Bengoetxea
